Timestamp,Age,Country,City,Sex,How do you commute? Check all that apply,How long is your commute?,How much of your time at work is spent sitting?,How satisfied are you with your quality of sleep?,In which position do you normally sleep?,How would you rate your level of physical activity?,"Do you use a fitness tracking device? (Fitbit, Apple Watch, Pebble, etc)",Please rate your general posture.,Are you concerned are you about your posture?,Do you have frequent back pain?,How severe is the pain? (leave blank if not applicable),Where do you experience the pain?,When do you experience the pain? Check all that apply.,If you have sought medical treatment for the pain please check all that apply.,What do you like least about finding back pain relief?
2019/10/21 7:52:54 PM EST,34,United States,Madison,Female,Drive a car,> 45 minutes,< 25%,Satisfied,On your stomach,Very active (some form of exercise 5 days a week),Yes,4,No,2,1,Lower back,While sedentary,Visited a physical therapist;Visited a chiropractor;Used CBD products,Treatment is inconvenient and time consuming
2019/10/21 10:39:38 PM EST,21,United States,Irvine,Female,Drive a car;Use public transportation,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",2,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,Used CBD products;Used homeopathic remedies,Lack of access to cost effective treatment
2019/10/22 6:53:48 AM EST,19,United States,Hanover Township,Female,Drive a car,10 - 29 minutes,25% - 50%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,4,Yes,4,3,Lower back,While sedentary,Not Applicable,Lack of access to cost effective treatment
2019/10/22 7:36:31 AM EST,42,Usa,Sturtevant,Male,Drive a car,10 - 29 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,1,1,Upper back / shoulders,Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 7:37:44 AM EST,58,USQ,Bluffton,Female,Walk,10 - 29 minutes,75% - 100%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,4,No,2,2,Upper back / shoulders;Base of the neck,While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/22 7:44:49 AM EST,61,U.S.A.,"Huntsville, TX",Male,Drive a car,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",4,No,2,3,Base of the neck,While sedentary;While sleeping,"Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/22 7:46:38 AM EST,64,USA,Melbourne,Female,Drive a car,10 - 29 minutes,50% - 75%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,5,No,3,3,Lower back,While standing,"Visited a physician or doctor;Visited a physical therapist;Taken prescription pain medication;Taken ""over the counter"" pain medication",Having to take something for it.
2019/10/22 7:52:56 AM EST,71,Us,Solvang,Female,Drive a car,> 45 minutes,50% - 75%,Very satisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,4,No,2,1,Lower back,While standing,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor,Doing frequent exercises / stretches
2019/10/22 7:55:22 AM EST,21,United States,Ada,Female,Walk;Bike;Drive a car,< 10 minutes,< 25%,Satisfied,On your side,Athletic (daily exercise),Yes,3,No,4,3,Lower back,While standing,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 7:58:04 AM EST,52,US,West Springfield,Female,Drive a car,10 - 29 minutes,50% - 75%,,On your back,Moderate (some form of exercise 1 - 2 days per week),No,5,No,2,4,Lower back;Upper back / shoulders,While standing;While moving;While sedentary;While sleeping,Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication,Treatment is inconvenient and time consuming
2019/10/22 7:58:46 AM EST,20,United States,Wilkes-Barre,Female,Walk;Drive a car,< 10 minutes,50% - 75%,Neutral,On your stomach,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,4,4,Lower back;Upper back / shoulders,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 8:08:40 AM EST,24,USA,Houston,Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,1,Yes,2,2,Lower back,Not Applicable,Not Applicable,N/A
2019/10/22 8:22:27 AM EST,29,United States,Jonesboro,Female,Drive a car,< 10 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,5,4,Lower back;Upper back / shoulders,While standing;While moving;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/22 8:31:58 AM EST,21,United States,Philadelphia,Male,Walk;Drive a car;Use public transportation,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Active (some form of exercise 3 - 4 days per week),"Own, but do not use",3,"Probably, but I likely wouldn't do anything about it.",2,2,Lower back,While standing,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 8:31:59 AM EST,67,USA,Carrollton,Female,Drive a car;Use public transportation,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While standing,"Taken ""over the counter"" pain medication",
2019/10/22 8:35:15 AM EST,20,USA,Riverdale,Female,Walk;Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,4,3,Lower back,While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 8:41:55 AM EST,60,USA,"Hatfield, PA",Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,No,2,3,Lower back,While standing;While moving,Not Applicable,Doing frequent exercises / stretches
2019/10/22 8:56:00 AM EST,62,United States,San Francisco,Female,Drive a car,> 45 minutes,25% - 50%,Very satisfied,On your side,Active (some form of exercise 3 - 4 days per week),"Own, but do not use",3,No,3,3,Lower back,While standing;While moving;While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/22 9:33:26 AM EST,41,United States,Dickson City,Female,Drive a car,30 - 45 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,No,1,1,NA,Not Applicable,Not Applicable,
2019/10/22 9:47:57 AM EST,58,USA,MELBOURNE,Female,Drive a car,< 10 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,3,3,Lower back,While standing,Not Applicable,Lack of access to cost effective treatment
2019/10/22 9:49:31 AM EST,52,USA,Lawrenceville,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",3,Yes,2,1,Upper back / shoulders,While standing;While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/22 9:50:24 AM EST,52,United States,Asheville,Male,Drive a car,< 10 minutes,25% - 50%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),No,3,Yes,3,3,Upper back / shoulders,While standing;While sedentary;While sleeping,Visited a physical therapist;Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/22 10:16:35 AM EST,24,united states,birmingham,Male,Drive a car,< 10 minutes,< 25%,Satisfied,On your side,Very active (some form of exercise 5 days a week),No,3,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back,While standing;While sedentary;While sleeping,Visited a physical therapist;Visited a chiropractor,Doing frequent exercises / stretches
2019/10/22 10:19:57 AM EST,42,United States,Berrien Springs,Female,Drive a car,< 10 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,4,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",Lack of access to cost effective treatment
2019/10/22 11:05:07 AM EST,21,United states,El Paso,Female,Walk;Drive a car;Use public transportation,30 - 45 minutes,< 25%,Neutral,On your stomach,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,1,1,Upper back / shoulders;Base of the neck,Not Applicable,Not Applicable,Lack of access to cost effective treatment
2019/10/22 11:10:14 AM EST,40,USA,New Rochelle,Male,Walk,< 10 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,4,3,Lower back,While sedentary,"Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/22 12:17:19 PM EST,47,usa,jacksonville,Female,Bike;Drive a car,10 - 29 minutes,75% - 100%,Neutral,On your back,Active (some form of exercise 3 - 4 days per week),No,3,Yes,3,4,Lower back,While moving;While sedentary,Visited a physician or doctor,Treatment is inconvenient and time consuming
2019/10/22 1:05:27 PM EST,18,USA,Bronx,Female,Walk;Use public transportation,> 45 minutes,75% - 100%,Very dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",2,Yes,5,3,Upper back / shoulders;Base of the neck,While standing;While moving;While sleeping,Not Applicable,Lack of access to cost effective treatment
2019/10/22 1:08:54 PM EST,34,USA,Boston,Male,Use public transportation,10 - 29 minutes,< 25%,Satisfied,On your back,Very active (some form of exercise 5 days a week),No,5,No,2,1,Lower back,Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 1:14:54 PM EST,33,United States,Oneonta,Male,Drive a car,< 10 minutes,25% - 50%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,2,2,Lower back;Base of the neck,While standing,Not Applicable,Lack of access to cost effective treatment
2019/10/22 1:16:46 PM EST,66,USA,Royse City,Female,Drive a car;Use public transportation,> 45 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,2,2,Lower back,While standing,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 1:20:20 PM EST,23,USA,Wilkes barre,Male,Walk,10 - 29 minutes,< 25%,Neutral,On your side,Athletic (daily exercise),No,3,Yes,3,3,Upper back / shoulders,While sedentary,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/22 1:22:57 PM EST,48,United States,Smithfield,Male,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,5,No,1,,NA,,,
2019/10/22 1:41:13 PM EST,23,USA,Whitewater,Male,Bike,< 10 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,1,1,Lower back,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/22 1:49:05 PM EST,23,US,Milwaukee,Male,Drive a car,< 10 minutes,25% - 50%,Neutral,On your stomach,Minimal (walking to and from the car/bus each day),No,3,Yes,2,2,Lower back,While standing,,Treatment is inconvenient and time consuming
2019/10/22 1:58:49 PM EST,49,USA,Norfolk,Female,Drive a car;Use public transportation,10 - 29 minutes,50% - 75%,Neutral,On your stomach,Minimal (walking to and from the car/bus each day),Yes,3,"Probably, but I likely wouldn't do anything about it.",5,5,Lower back;Upper back / shoulders,While standing;While moving;While sedentary;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Lack of access to cost effective treatment
2019/10/22 2:23:00 PM EST,19,United States,Wilkes Barre,Female,Walk,< 10 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",3,No,2,2,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/22 2:28:36 PM EST,55,United States,Berrine Springs,Female,Drive a car,< 10 minutes,25% - 50%,Satisfied,On your side,Active (some form of exercise 3 - 4 days per week),"Own, but do not use",3,No,1,,NA,,,
2019/10/22 2:59:50 PM EST,42,USA,Dallas,Female,Drive a car,30 - 45 minutes,50% - 75%,Satisfied,On your stomach,Very active (some form of exercise 5 days a week),Yes,4,No,1,,NA,Not Applicable,Not Applicable,Not applicable
2019/10/22 3:04:48 PM EST,57,USA,St. Louis,Male,Drive a car,> 45 minutes,50% - 75%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,"Probably, but I likely wouldn't do anything about it.",4,2,Lower back,While moving;While sedentary,Visited a physician or doctor;Taken prescription pain medication;Used homeopathic remedies,Treatment is inconvenient and time consuming
2019/10/22 3:21:30 PM EST,68,United States,Hubbardston,Male,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your side,Active (some form of exercise 3 - 4 days per week),Yes,3,No,1,1,Upper back / shoulders,While sleeping,Not Applicable,Lack of access to cost effective treatment
2019/10/22 3:26:14 PM EST,23,US,"Burlington, VT",Female,Walk,10 - 29 minutes,50% - 75%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",3,2,Upper back / shoulders;Base of the neck,While moving;While sedentary,Not Applicable,N/A
2019/10/22 4:17:46 PM EST,26,United States,Slidell,Male,Drive a car,> 45 minutes,50% - 75%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sedentary;While sleeping,Not Applicable,Doing frequent exercises / stretches
2019/10/22 6:14:45 PM EST,78,United States,Richardson,Male,,,,Very dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,5,5,Lower back,While standing,Visited a physician or doctor;Taken prescription pain medication,Seeing doctors that turn you over to thier med tech.
2019/10/22 6:25:33 PM EST,25,United States,Ponchatoula,Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,2,Yes,4,3,Lower back,While standing;While moving;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/22 6:34:52 PM EST,22,United States,San Jose,Prefer not to say,Drive a car,> 45 minutes,75% - 100%,Dissatisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,2,Lower back,While sedentary,Used CBD products;Used homeopathic remedies,Doing frequent exercises / stretches
2019/10/22 6:49:08 PM EST,31,,,Female,Drive a car,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),"Own, but do not use",3,Yes,5,4,Lower back;Base of the neck,While moving;While sedentary;While sleeping,"Visited a physical therapist;Visited a chiropractor;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/22 9:09:54 PM EST,50,United States,WORCESTER,Male,Drive a car,30 - 45 minutes,25% - 50%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),No,2,Yes,1,,NA,,,Treatment is inconvenient and time consuming
2019/10/22 11:14:42 PM EST,19,USA,Jonesboro,Female,Walk;Drive a car,< 10 minutes,75% - 100%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,3,2,Lower back,While moving,Taken prescription pain medication,Doing frequent exercises / stretches
2019/10/23 7:25:22 AM EST,20,United states,Lewisburg,Female,Walk,< 10 minutes,50% - 75%,Satisfied,On your side,Very active (some form of exercise 5 days a week),No,3,"Probably, but I likely wouldn't do anything about it.",3,1,Lower back,While standing,Not Applicable,Doing frequent exercises / stretches
2019/10/23 7:34:16 AM EST,21,America,Syracuse (currently),Female,Walk,10 - 29 minutes,75% - 100%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",3,2,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary;While sleeping,"Visited a chiropractor;Taken ""over the counter"" pain medication;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/23 8:55:09 AM EST,39,USA,"Norfolk, VA ",Female,Drive a car,10 - 29 minutes,,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,1,1,NA,Not Applicable,Not Applicable,n/a
2019/10/23 9:25:50 AM EST,34,United States,Lancaster,Female,Drive a car,10 - 29 minutes,25% - 50%,Satisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",3,Yes,3,3,Lower back;Upper back / shoulders,While standing;While sedentary,"Visited a physician or doctor;Visited a physical therapist;Taken ""over the counter"" pain medication;Used CBD products",Lack of access to cost effective treatment
2019/10/23 10:01:18 AM EST,21,United States,Wilkes Barre,Male,Walk;Drive a car,< 10 minutes,25% - 50%,Dissatisfied,On your stomach,Athletic (daily exercise),No,5,No,4,4,Lower back;Upper back / shoulders,While moving,Visited a physical therapist,Treatment is inconvenient and time consuming
2019/10/23 10:01:20 AM EST,23,USA,New York,Male,Walk;Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your stomach,Active (some form of exercise 3 - 4 days per week),No,3,"Probably, but I likely wouldn't do anything about it.",2,1,Lower back,While sedentary,Not Applicable,Treatment is inconvenient and time consuming
2019/10/23 10:38:56 AM EST,21,United States,Bronx,Female,Drive a car,10 - 29 minutes,25% - 50%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,2,Yes,4,4,Lower back;Upper back / shoulders,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/23 10:40:08 AM EST,36,United States,Lawrence,Female,Drive a car,> 45 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,2,1,Upper back / shoulders;Base of the neck,While sedentary,,Doing frequent exercises / stretches
2019/10/23 12:48:05 PM EST,19,United States,Berwick,Female,Drive a car,30 - 45 minutes,50% - 75%,Neutral,On your side,Athletic (daily exercise),Yes,4,No,2,1,Lower back,Not Applicable,Visited a chiropractor,Doing frequent exercises / stretches
2019/10/23 12:48:33 PM EST,22,,,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,2,2,Upper back / shoulders;Base of the neck,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/23 12:50:48 PM EST,26,,,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,"Probably, but I likely wouldn't do anything about it.",2,3,Lower back;Upper back / shoulders;Base of the neck,While sedentary,Not Applicable,
2019/10/23 1:04:50 PM EST,21,United States,New Rochelle,Female,Walk;Use public transportation,< 10 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),"Own, but do not use",3,No,2,2,Lower back;Upper back / shoulders,While moving,Not Applicable,Never really sought relief as itÃ¢ÂÂs not that bad
2019/10/23 1:05:45 PM EST,20,United States,"Clarksville, TN ",Female,Walk;Drive a car;Use public transportation,< 10 minutes,25% - 50%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,5,4,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary;While sleeping,"Visited a chiropractor;Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",Treatment is inconvenient and time consuming
2019/10/23 1:07:35 PM EST,42,USA,Duluth,Female,Drive a car,30 - 45 minutes,50% - 75%,Neutral,On your side,Active (some form of exercise 3 - 4 days per week),Yes,2,Yes,4,2,Upper back / shoulders;Base of the neck,While standing;While sedentary;While sleeping,"Taken ""over the counter"" pain medication",
2019/10/23 1:09:28 PM EST,39,United States,Rapid City,Male,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,4,No,1,1,NA,,,
2019/10/23 1:10:51 PM EST,26,United States,Boston,Female,Drive a car,10 - 29 minutes,25% - 50%,Neutral,On your back,Athletic (daily exercise),Yes,3,No,1,,NA,,,
2019/10/23 1:11:52 PM EST,61,US,Ellensburg,Female,Walk,< 10 minutes,50% - 75%,Very satisfied,On your stomach,Athletic (daily exercise),Yes,4,No,2,1,Lower back,While moving,Not Applicable,
2019/10/23 1:12:43 PM EST,67,USA,Melbourne,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your stomach,Active (some form of exercise 3 - 4 days per week),No,3,Yes,2,1,Upper back / shoulders,While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/23 1:17:08 PM EST,48,United States,Frisco,Female,Drive a car,> 45 minutes,50% - 75%,Dissatisfied,On your stomach,Moderate (some form of exercise 1 - 2 days per week),No,2,Yes,3,2,Base of the neck,While sedentary,"Visited a physician or doctor;Visited a chiropractor;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/23 1:17:27 PM EST,39,United states,"Hollywood, FL",Female,Drive a car,10 - 29 minutes,75% - 100%,Dissatisfied,On your back,Minimal (walking to and from the car/bus each day),No,3,No,5,4,Lower back,While standing;While sleeping,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/23 1:18:54 PM EST,24,United States,Dallas,Female,Drive a car,< 10 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,2,Yes,3,3,Lower back;Upper back / shoulders;Base of the neck,While sedentary,"Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/23 1:20:25 PM EST,38,USA,"Jonesboro, AR",Male,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your side,Very active (some form of exercise 5 days a week),No,3,Yes,4,2,Lower back,While sedentary;While sleeping,"Visited a physician or doctor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Nothing seems to work.
2019/10/23 1:28:18 PM EST,58,USA,Baltimore,Male,Drive a car,10 - 29 minutes,75% - 100%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,4,2,Base of the neck,While standing;While sleeping,Not Applicable,Doing frequent exercises / stretches
2019/10/23 1:30:22 PM EST,63,U.S.,Burlington,Female,Drive a car,10 - 29 minutes,,Dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,3,No,2,2,Lower back;Upper back / shoulders;Base of the neck,While sedentary,"Visited a physical therapist;Taken prescription pain medication;Taken ""over the counter"" pain medication",Treatment is inconvenient and time consuming
2019/10/23 1:37:22 PM EST,56,United States,Saint Louis,Female,Drive a car,10 - 29 minutes,75% - 100%,Satisfied,On your back,Athletic (daily exercise),No,4,Yes,2,2,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,Visited a physical therapist;Visited a chiropractor,"While it is time consuming, the benefits far outweigh the drawbacks!"
2019/10/23 1:39:20 PM EST,69,USA,Durham,Male,Bike;Drive a car,30 - 45 minutes,50% - 75%,Satisfied,On your back,Very active (some form of exercise 5 days a week),No,3,No,1,,NA,Not Applicable,Not Applicable,Doing frequent exercises / stretches
2019/10/23 1:46:53 PM EST,45,United States,Miami,Male,Drive a car,30 - 45 minutes,50% - 75%,Very satisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While moving;While sleeping,"Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication;Used CBD products",Treatment is inconvenient and time consuming
2019/10/23 1:58:48 PM EST,21,United States,Laguna Hills,Male,Drive a car,10 - 29 minutes,25% - 50%,Dissatisfied,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,2,Yes,2,2,Lower back;Upper back / shoulders,While moving;While sedentary;While sleeping,Not Applicable,Treatment is inconvenient and time consuming
2019/10/23 2:04:31 PM EST,77,USA,Warrenton,Male,Drive a car,> 45 minutes,< 25%,Satisfied,On your side,Very active (some form of exercise 5 days a week),No,3,No,5,3,Lower back;Upper back / shoulders,While standing;While moving;While sleeping,Visited a physician or doctor,Doing frequent exercises / stretches
2019/10/23 2:05:44 PM EST,52,,Duluth,Female,Drive a car,10 - 29 minutes,50% - 75%,Dissatisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,3,3,Lower back,While standing;While moving,"Visited a physician or doctor;Visited a physical therapist;Visited a chiropractor;Taken prescription pain medication;Taken ""over the counter"" pain medication",Doing frequent exercises / stretches
2019/10/23 2:17:40 PM EST,27,United States,Williamsport,Female,Drive a car,10 - 29 minutes,< 25%,Satisfied,On your stomach,Athletic (daily exercise),,2,Yes,3,3,Lower back;Base of the neck,While standing;While moving;While sedentary;While sleeping,Not Applicable,Lack of access to cost effective treatment
2019/10/23 2:26:26 PM EST,54,US,Melbourne,Male,Drive a car,10 - 29 minutes,75% - 100%,Very satisfied,On your back,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,2,4,Lower back,While moving,Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/23 2:38:16 PM EST,39,United States,Long Beach,Male,Walk;Drive a car,< 10 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),Yes,3,Yes,1,,Lower back,Not Applicable,Not Applicable,Treatment is inconvenient and time consuming
2019/10/23 2:43:46 PM EST,21,United States,Phoenix,Female,Walk;Drive a car,< 10 minutes,25% - 50%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,4,No,2,1,Upper back / shoulders;Base of the neck,While sedentary,Used homeopathic remedies;Not Applicable,"not bad enough to seek treatment, or I am just uneducated for when I should consider it "
2019/10/23 3:10:07 PM EST,38,USA,,Male,Bike;Drive a car,10 - 29 minutes,50% - 75%,Very satisfied,On your side,Athletic (daily exercise),No,3,Yes,2,3,Lower back;Upper back / shoulders;Base of the neck,While standing;While sedentary,"Visited a chiropractor;Taken ""over the counter"" pain medication",Lack of access to cost effective treatment
2019/10/23 3:45:08 PM EST,53,United States,Winter Springs,Male,Drive a car,30 - 45 minutes,75% - 100%,Dissatisfied,On your side,Minimal (walking to and from the car/bus each day),No,3,No,2,1,"Lower back;I have bad osteoarthritis in right hip. Had it in left hip, too, but got left hip replaced earlier this year.",While sedentary,Not Applicable,Lack of access to cost effective treatment
2019/10/23 3:49:34 PM EST,62,United States,Brookline,Female,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,4,No,2,,Upper back / shoulders;Lower back,While standing;While sedentary,Visited a physical therapist;Visited a chiropractor,Treatment is inconvenient and time consuming
2019/10/23 4:32:54 PM EST,20,United States,El Paso,Female,Drive a car,10 - 29 minutes,50% - 75%,Neutral,On your side,Minimal (walking to and from the car/bus each day),No,3,Yes,5,4,Upper back / shoulders;Base of the neck,While standing,,Lack of access to cost effective treatment
2019/10/23 5:44:50 PM EST,41,Puerto Rico,San Juan,Male,Walk;Drive a car,30 - 45 minutes,50% - 75%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,Yes,2,3,Lower back,While sedentary,Not Applicable,Doing frequent exercises / stretches
2019/10/23 5:49:11 PM EST,29,United States,Colorado Springs,Male,Drive a car,10 - 29 minutes,50% - 75%,Satisfied,On your side,Minimal (walking to and from the car/bus each day),Yes,3,"Probably, but I likely wouldn't do anything about it.",2,3,Lower back;Upper back / shoulders,While moving,Not Applicable,Lack of access to cost effective treatment
2019/10/23 7:31:39 PM EST,59,Usa,Kansas Citu,Prefer not to say,Drive a car,< 10 minutes,50% - 75%,Satisfied,On your back,Active (some form of exercise 3 - 4 days per week),Yes,3,Yes,2,2,Upper back / shoulders,While sedentary,Visited a physician or doctor;Visited a chiropractor,I have no Ã¢ÂÂleastÃ¢ÂÂ
2019/10/23 10:11:47 PM EST,48,USA,Oneonta,Male,Drive a car,< 10 minutes,25% - 50%,Neutral,On your side,Moderate (some form of exercise 1 - 2 days per week),No,3,No,2,3,Lower back;Upper back / shoulders;Base of the neck,While moving,"Visited a chiropractor;Taken ""over the counter"" pain medication;Used CBD products;Used homeopathic remedies",too busy
